Component_Type,Brand,Full_Model_Name,Series_Generation,Suffix_Type,MSRP_Price,Current_Street_Price,VRAM_GB,G3D_Mark,Price_per_Mark
GPU,Nvidia,GeForce RTX 5080,50,None,999,1500.00,16,35900,0.042
GPU,AMD,Radeon RX 7900 XTX,79,XTX,999,999.00,24,31100,0.032
GPU,Nvidia,GeForce RTX 5070 Ti,50,Ti,749,1199.99,16,32367,0.037
GPU,AMD,Radeon RX 9070 XT,90,XT,599,799.50,16,27183,0.029
GPU,Nvidia,GeForce RTX 5070,50,None,549,979.65,12,28679,0.034
GPU,AMD,Radeon RX 9070,90,None,549,689.99,16,26166,0.026
GPU,Nvidia,GeForce RTX 4070 Ti,40,Ti,799,849.99,12,31570,0.040
GPU,AMD,Radeon RX 7900 XT,79,XT,899,699.99,20,28900,0.024
GPU,Nvidia,GeForce RTX 4070,40,None,549,589.99,12,26959,0.034
GPU,AMD,Radeon RX 7800 XT,78,XT,499,519.99,16,24207,0.021
GPU,Nvidia,GeForce RTX 4060 Ti,40,Ti,399,325.00,8,22608,0.014
GPU,AMD,Radeon RX 7700 XT,77,XT,449,529.99,12,22448,0.024
GPU,Nvidia,GeForce RTX 5060,50,None,299,329.00,8,20660,0.016
GPU,AMD,Radeon RX 9060 XT,90,XT,349,430.00,16,20088,0.021
GPU,Nvidia,GeForce RTX 4060,40,None,299,299.99,8,19700,0.015
GPU,AMD,Radeon RX 7600,76,None,269,259.99,8,16611,0.016
